id,timestamp,beacon_id,est_x,est_y,pi_ids_used,actual_x,actual_y,obs_x,obs_y,kf_x,kf_y,calc_method,user_name,job_title,department,status
551,2025-11-25 02:23:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,2587.000,6007.000,"8,3,7",3035.000,6230.000,4835.0,5230.0,1736.0,6007.0,SHAPELY,Dazzy,manager,dev_team,available
550,2025-11-25 02:23:20,1AFD3201-5C66-4F98-A201-B778A7FF0912,4835.000,3135.000,"7,1,3",4835.000,3115.000,5337.0,3037.0,4780.0,3122.0,SHAPELY,ゲスト,unknown,other,available
549,2025-11-25 02:23:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,5790.000,"8,3,7",3035.000,6230.000,4843.0,5360.0,1561.0,5817.0,SHAPELY,Dazzy,manager,dev_team,available
548,2025-11-25 02:22:48,1AFD3201-5C66-4F98-A201-B778A7FF0912,4223.000,2457.000,"7,1,3",4835.000,3115.000,5294.0,2931.0,4223.0,3640.0,SHAPELY,ゲスト,unknown,other,available
547,2025-11-25 02:22:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,952.000,4714.000,"8,3,7",3035.000,6230.000,4852.0,5397.0,952.0,4714.0,SHAPELY,Dazzy,manager,dev_team,available
546,2025-11-25 02:22:13,1AFD3201-5C66-4F98-A201-B778A7FF0912,4922.000,2457.000,"7,1,3",4835.000,3115.000,5282.0,2898.0,4922.0,3529.0,SHAPELY,ゲスト,unknown,other,available
545,2025-11-25 02:22:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,975.000,4900.000,"8,3,7",3035.000,6230.000,4881.0,5505.0,975.0,4900.0,SHAPELY,Dazzy,manager,dev_team,available
544,2025-11-25 02:21:42,1AFD3201-5C66-4F98-A201-B778A7FF0912,4835.000,3135.000,"7,1,3",4835.000,3115.000,5288.0,2917.0,4962.0,2951.0,SHAPELY,ゲスト,unknown,other,available
543,2025-11-25 02:21:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1994.000,5105.000,"8,3,7",3035.000,6230.000,4909.0,5362.0,1994.0,5105.0,SHAPELY,Dazzy,manager,dev_team,available
542,2025-11-25 02:21:12,1AFD3201-5C66-4F98-A201-B778A7FF0912,5114.000,2523.000,"7,1,3",4835.000,3115.000,5288.0,2915.0,5114.0,2523.0,SHAPELY,ゲスト,unknown,other,available
541,2025-11-25 02:21:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,2587.000,5745.000,"8,3,7",3035.000,6230.000,4841.0,5297.0,1716.0,5745.0,SHAPELY,Dazzy,manager,dev_team,available
540,2025-11-25 02:20:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,2587.000,6042.000,"8,3,7",3035.000,6230.000,4848.0,5450.0,1761.0,6042.0,SHAPELY,Dazzy,manager,dev_team,available
539,2025-11-25 02:20:39,1AFD3201-5C66-4F98-A201-B778A7FF0912,5299.000,2457.000,"7,1,3",4835.000,3115.000,5304.0,2954.0,5299.0,3044.0,SHAPELY,ゲスト,unknown,other,available
538,2025-11-25 02:20:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,5790.000,"8,3,7",3035.000,6230.000,4835.0,5395.0,1338.0,5708.0,SHAPELY,Dazzy,manager,dev_team,available
537,2025-11-25 02:20:06,1AFD3201-5C66-4F98-A201-B778A7FF0912,5033.000,2748.000,"7,1,3",4835.000,3115.000,5339.0,3041.0,5033.0,2748.0,SHAPELY,ゲスト,unknown,other,available
536,2025-11-25 02:19:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,6390.000,"8,3,7",3035.000,6230.000,4860.0,5379.0,1033.0,6181.0,SHAPELY,Dazzy,manager,dev_team,available
535,2025-11-25 02:19:35,1AFD3201-5C66-4F98-A201-B778A7FF0912,5760.000,2607.000,"7,1,3",4835.000,3115.000,5249.0,2820.0,5760.0,2607.0,SHAPELY,ゲスト,unknown,other,available
534,2025-11-25 02:19:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,561.000,6177.000,"8,3,7",3035.000,6230.000,4835.0,5460.0,561.0,6177.0,SHAPELY,Dazzy,manager,dev_team,available
533,2025-11-25 02:19:04,1AFD3201-5C66-4F98-A201-B778A7FF0912,5539.000,2567.000,"7,1,3",4835.000,3115.000,5257.0,2840.0,5539.0,2567.0,SHAPELY,ゲスト,unknown,other,available
532,2025-11-25 02:18:40,1A7BFF5E-BAE7-462D-978E-574155DF4F85,1240.000,6390.000,"8,3,7",3035.000,6230.000,4836.0,5414.0,1294.0,6384.0,SHAPELY,Dazzy,manager,dev_team,available
531,2025-11-25 02:18:33,1AFD3201-5C66-4F98-A201-B778A7FF0912,6206.000,2457.000,"7,1,3",4835.000,3115.000,5283.0,2904.0,6206.0,3015.0,SHAPELY,ゲスト,unknown,other,available
530,2025-11-25 02:18:10,1A7BFF5E-BAE7-462D-978E-574155DF4F85,440.000,6827.000,"8,3,7",3035.000,6230.000,4841.0,5340.0,440.0,6827.0,SHAPELY,Dazzy,manager,dev_team,available
