1057,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:27:29,4874,
1058,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:27:37,4648,
1059,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:27:47,4796,
1060,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:27:57,4697,
1061,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:28:07,4636,
1062,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:28:17,4628,
1063,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:28:27,4684,
1064,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:28:37,4667,
1065,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:28:47,4689,
1066,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:28:57,4604,
1067,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:29:07,4604,
1068,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:29:17,4655,
1069,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:29:27,5062,
1070,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:29:37,5023,
1071,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:29:47,5035,
1072,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:29:57,4966,
1073,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:30:07,4860,
1074,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:30:17,4874,
1075,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:30:27,4975,
1076,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:30:37,5098,
1077,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:30:47,5140,
1078,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:30:57,5202,
1079,3,1AFD3201-5C66-4F98-A201-B778A7FF0912,2025-11-22 20:31:07,5224,
